SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,0-4,0,5,25462.903,24537.691,50000.594
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,5-9,5,5,21888.505,21392.018,43280.523
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,10-14,10,5,25841.495,25446.071,51287.566
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,15-19,15,5,23340.83,23796.697,47137.527
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,20-24,20,5,23854.303,25656.366,49510.669
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,25-29,25,5,19158.202,23354.087,42512.289
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,30-34,30,5,13928.084,17175.496,31103.58
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,35-39,35,5,18215.21,22693.016,40908.226
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,40-44,40,5,17697.535,21110.849,38808.384
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,45-49,45,5,15822.474,19255.167,35077.641
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,50-54,50,5,12739.096,16317.356,29056.452
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,55-59,55,5,10395.472,13959.842,24355.314
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,60-64,60,5,8848.376,12125.747,20974.123
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,65-69,65,5,7124.614,9892.036,17016.65
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,70-74,70,5,5258.871,7406.232,12665.103
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,75-79,75,5,3185.36,4768.146,7953.506
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,80-84,80,5,1429.029,2353.145,3782.174
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,85-89,85,5,494.222,947.702,1441.924
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,90-94,90,5,109.316,250.758,360.074
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,95-99,95,5,17.884,50.359,68.243
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1950,1950,100+,100,-1,1.026,2.691,3.717
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,0-4,0,5,26950.542,25878.132,52828.674
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,5-9,5,5,21072.916,20572.929,41645.845
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,10-14,10,5,25701.705,25243.67,50945.375
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,15-19,15,5,23252.198,23535.758,46787.956
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,20-24,20,5,24294.72,25596.276,49890.996
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,25-29,25,5,19784.062,23751.44,43535.502
148,908,,,,150,2,"Geographic region",1840,Europe,2,Medium,1951,1951,30-34,30,5,14428.441,17694.552,32122.993
