SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,0-4,0,5,8807.352,8472.022,17279.374
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,5-9,5,5,7179.696,6927.371,14107.067
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,10-14,10,5,6093.268,5885.146,11978.414
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,15-19,15,5,5758.103,5761.88,11519.983
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,20-24,20,5,6049.154,6336.609,12385.763
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,25-29,25,5,6386.611,6686.638,13073.249
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,30-34,30,5,6016.455,6282.85,12299.305
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,35-39,35,5,5857.911,6056.559,11914.47
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,40-44,40,5,5376.357,5422.284,10798.641
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,45-49,45,5,4818.304,4810.754,9629.058
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,50-54,50,5,4378.566,4363.309,8741.875
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,55-59,55,5,3845.321,3802.219,7647.54
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,60-64,60,5,3231.616,3195.156,6426.772
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,65-69,65,5,2571.882,2686.391,5258.273
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,70-74,70,5,1744.119,1882.142,3626.261
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,75-79,75,5,1057.755,1195.243,2252.998
257,905,,,,21,2,"Geographic region",1840,"Northern America",2,Medium,1950,1950,80-84,80,5,530.494,676.103,1206.597
