SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,0-4,0,5,321.709,305.578,627.287
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,5-9,5,5,282.537,270.075,552.612
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,10-14,10,5,223.623,215.687,439.31
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,15-19,15,5,212.899,207.55,420.449
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,20-24,20,5,235.589,232.174,467.763
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,25-29,25,5,281.615,275.013,556.628
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,30-34,30,5,264.607,258.308,522.915
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,35-39,35,5,279.18,271.292,550.472
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,40-44,40,5,267.209,265.855,533.064
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,45-49,45,5,239.059,243.681,482.74
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,50-54,50,5,209.314,217.697,427.011
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,55-59,55,5,178.703,193.098,371.801
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,60-64,60,5,155.471,170.755,326.226
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,65-69,65,5,124.971,138.998,263.969
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,70-74,70,5,97.317,108.802,206.119
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,75-79,75,5,60.564,70.424,130.988
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,80-84,80,5,30.405,38.359,68.764
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,85-89,85,5,12.717,17.339,30.056
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,90-94,90,5,2.837,4.224,7.061
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,95-99,95,5,0.302,0.568,0.87
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1950,1950,100+,100,-1,0.013,0.033,0.046
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,0-4,0,5,313.64,297.933,611.573
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,5-9,5,5,301.793,287.622,589.415
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,10-14,10,5,229.268,221.318,450.586
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,15-19,15,5,210.687,204.506,415.193
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,20-24,20,5,230.442,228.141,458.583
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,25-29,25,5,269.581,263.559,533.14
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,30-34,30,5,274.749,267.993,542.742
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,35-39,35,5,276.069,269.245,545.314
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,40-44,40,5,272.19,268.22,540.41
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,45-49,45,5,242.344,246.567,488.911
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,50-54,50,5,213.823,221.896,435.719
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,55-59,55,5,183.379,197.002,380.381
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,60-64,60,5,156.752,173.196,329.948
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,65-69,65,5,127.89,142.23,270.12
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,70-74,70,5,98.339,110.554,208.893
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,75-79,75,5,62.776,72.525,135.301
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,80-84,80,5,30.459,38.04,68.499
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,85-89,85,5,12.719,17.437,30.156
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,90-94,90,5,2.95,4.339,7.289
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,95-99,95,5,0.297,0.55,0.847
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1951,1951,100+,100,-1,0.013,0.036,0.049
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,0-4,0,5,302.915,287.314,590.229
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,5-9,5,5,318.61,303.062,621.672
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,10-14,10,5,235.519,226.822,462.341
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,15-19,15,5,210.633,204.873,415.506
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,20-24,20,5,226.661,224.511,451.172
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,25-29,25,5,259.641,254.499,514.14
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,30-34,30,5,280.337,273.746,554.083
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,35-39,35,5,273.3,266.989,540.289
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,40-44,40,5,275.045,269.864,544.909
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,45-49,45,5,246.375,249.715,496.09
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,50-54,50,5,218.817,226.431,445.248
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,55-59,55,5,187.419,199.924,387.343
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,60-64,60,5,158.644,175.77,334.414
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,65-69,65,5,131.139,146.386,277.525
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,70-74,70,5,99.585,112.553,212.138
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,75-79,75,5,64.472,73.946,138.418
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,80-84,80,5,31.209,38.544,69.753
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,85-89,85,5,12.893,17.598,30.491
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,90-94,90,5,2.836,4.291,7.127
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,95-99,95,5,0.289,0.549,0.838
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1952,1952,100+,100,-1,0.016,0.04,0.056
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,0-4,0,5,293.88,278.295,572.175
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,5-9,5,5,326.181,310.095,636.276
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,10-14,10,5,248.079,238.421,486.5
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,15-19,15,5,212.216,206.183,418.399
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,20-24,20,5,223.867,222.163,446.03
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,25-29,25,5,252.609,247.778,500.387
173,752,,SWE,SE,752,4,Country/Area,924,Sweden,2,Medium,1953,1953,30-34,30,5,281.291,275.11,556.401
