SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,PopMale,PopFemale,PopTotal
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,0-4,0,5,170451.218,163206.503,333657.721
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,5-9,5,5,136459.701,130304.242,266763.943
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,10-14,10,5,131620.815,125619.997,257240.812
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,15-19,15,5,119914.055,116088.462,236002.517
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,20-24,20,5,110159.628,108388.532,218548.16
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,25-29,25,5,94920.49,96725.565,191646.055
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,30-34,30,5,80256.907,81411.876,161668.783
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,35-39,35,5,78382.825,80568.208,158951.033
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,40-44,40,5,70775.632,72231.777,143007.409
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,45-49,45,5,61329.565,62892.279,124221.844
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,50-54,50,5,50432.316,52935.895,103368.211
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,55-59,55,5,40633.107,43973.002,84606.109
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,60-64,60,5,33145.603,37305.994,70451.597
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,65-69,65,5,24123.32,28652.577,52775.897
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,70-74,70,5,16230.042,20226.841,36456.883
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,75-79,75,5,9583.182,12739.568,22322.75
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,80-84,80,5,4372.027,6472.767,10844.794
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,85-89,85,5,1462.281,2525.905,3988.186
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,90-94,90,5,320.651,648.175,968.826
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,95-99,95,5,50.001,119.48,169.481
1,900,,,,1,1,World,0,World,2,Medium,1950,1950,100+,100,-1,3.995,9.726,13.721
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,0-4,0,5,178843.563,171252.306,350095.869
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,5-9,5,5,137368.316,131328.908,268697.224
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,10-14,10,5,132604.934,126315.99,258920.924
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,15-19,15,5,121111.664,117232.553,238344.217
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,20-24,20,5,111879.908,109803.261,221683.169
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,25-29,25,5,97035.937,98608.611,195644.548
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,30-34,30,5,81746.853,83069.406,164816.259
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,35-39,35,5,78528.685,80764.608,159293.293
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,40-44,40,5,71690.438,73379.21,145069.648
1,900,,,,1,1,World,0,World,2,Medium,1951,1951,45-49,45,5,62396.316,64089.307,126485.623
